"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.102","128.119.245.12","TCP","62","1161 > 80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"2","0.023172","128.119.245.12","192.168.1.102","TCP","62","80 > 1161 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"3","0.023265","192.168.1.102","128.119.245.12","TCP","54","1161 > 80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"4","0.026477","192.168.1.102","128.119.245.12","TCP","619","1161 > 80 [PSH, ACK] Seq=1 Ack=1 Win=17520 Len=565"
"5","0.041737","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [PSH, ACK] Seq=566 Ack=1 Win=17520 Len=1460"
"6","0.053937","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=566 Win=6780 Len=0"
"7","0.054026","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=2026 Ack=1 Win=17520 Len=1460"
"8","0.054690","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=3486 Ack=1 Win=17520 Len=1460"
"9","0.077294","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=2026 Win=8760 Len=0"
"10","0.077405","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=4946 Ack=1 Win=17520 Len=1460"
"11","0.078157","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=6406 Ack=1 Win=17520 Len=1460"
"12","0.124085","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=3486 Win=11680 Len=0"
"13","0.124185","192.168.1.102","128.119.245.12","TCP","1201","1161 > 80 [PSH, ACK] Seq=7866 Ack=1 Win=17520 Len=1147"
"14","0.169118","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=4946 Win=14600 Len=0"
"15","0.217299","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=6406 Win=17520 Len=0"
"16","0.267802","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=7866 Win=20440 Len=0"
"17","0.304807","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=9013 Win=23360 Len=0"
"18","0.305040","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=9013 Ack=1 Win=17520 Len=1460"
"19","0.305813","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=10473 Ack=1 Win=17520 Len=1460"
"20","0.306692","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=11933 Ack=1 Win=17520 Len=1460"
"21","0.307571","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=13393 Ack=1 Win=17520 Len=1460"
"22","0.308699","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=14853 Ack=1 Win=17520 Len=1460"
"23","0.309553","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=16313 Ack=1 Win=17520 Len=892"
"24","0.356437","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=10473 Win=26280 Len=0"
"25","0.400164","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=11933 Win=29200 Len=0"
"26","0.448613","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=13393 Win=32120 Len=0"
"27","0.500029","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=14853 Win=35040 Len=0"
"28","0.545052","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=16313 Win=37960 Len=0"
"29","0.576417","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=17205 Win=37960 Len=0"
"30","0.576671","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=17205 Ack=1 Win=17520 Len=1460"
"31","0.577385","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=18665 Ack=1 Win=17520 Len=1460"
"32","0.578329","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=20125 Ack=1 Win=17520 Len=1460"
"33","0.579195","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=21585 Ack=1 Win=17520 Len=1460"
"34","0.580149","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=23045 Ack=1 Win=17520 Len=1460"
"35","0.581074","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=24505 Ack=1 Win=17520 Len=892"
"36","0.626496","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=18665 Win=40880 Len=0"
"37","0.672796","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=20125 Win=43800 Len=0"
"38","0.730684","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=21585 Win=46720 Len=0"
"39","0.772990","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=23045 Win=49640 Len=0"
"40","0.820622","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=24505 Win=52560 Len=0"
"41","0.853186","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=25397 Win=52560 Len=0"
"42","0.853405","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=25397 Ack=1 Win=17520 Len=1460"
"43","0.854076","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=26857 Ack=1 Win=17520 Len=1460"
"44","0.855036","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=28317 Ack=1 Win=17520 Len=1460"
"45","0.855878","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=29777 Ack=1 Win=17520 Len=1460"
"46","0.856802","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=31237 Ack=1 Win=17520 Len=1460"
"47","0.857683","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=32697 Ack=1 Win=17520 Len=892"
"48","0.899423","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=26857 Win=55480 Len=0"
"49","0.949545","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=28317 Win=58400 Len=0"
"50","0.994715","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=29777 Win=61320 Len=0"
"51","1.039820","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=31237 Win=62780 Len=0"
"52","1.117097","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=33589 Win=62780 Len=0"
"53","1.117333","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=33589 Ack=1 Win=17520 Len=1460"
"54","1.118133","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=35049 Ack=1 Win=17520 Len=1460"
"55","1.119029","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=36509 Ack=1 Win=17520 Len=1460"
"56","1.119858","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=37969 Ack=1 Win=17520 Len=1460"
"57","1.120902","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=39429 Ack=1 Win=17520 Len=1460"
"58","1.121891","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=40889 Ack=1 Win=17520 Len=892"
"59","1.200421","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=35049 Win=62780 Len=0"
"60","1.265026","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=37969 Win=62780 Len=0"
"61","1.362074","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=40889 Win=62780 Len=0"
"62","1.389886","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=41781 Win=62780 Len=0"
"63","1.390110","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=41781 Ack=1 Win=17520 Len=1460"
"64","1.390824","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=43241 Ack=1 Win=17520 Len=1460"
"65","1.391683","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=44701 Ack=1 Win=17520 Len=1460"
"66","1.392594","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=46161 Ack=1 Win=17520 Len=1460"
"67","1.393390","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=47621 Ack=1 Win=17520 Len=1460"
"68","1.394202","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=49081 Ack=1 Win=17520 Len=892"
"69","1.488313","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=44701 Win=62780 Len=0"
"70","1.584980","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=47621 Win=62780 Len=0"
"71","1.661513","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=49973 Win=62780 Len=0"
"72","1.661734","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=49973 Ack=1 Win=17520 Len=1460"
"73","1.662474","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=51433 Ack=1 Win=17520 Len=1460"
"74","1.663315","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=52893 Ack=1 Win=17520 Len=1460"
"75","1.664198","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=54353 Ack=1 Win=17520 Len=1460"
"76","1.665254","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=55813 Ack=1 Win=17520 Len=1460"
"77","1.666151","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=57273 Ack=1 Win=17520 Len=892"
"78","1.758227","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=52893 Win=62780 Len=0"
"79","1.860063","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=55813 Win=62780 Len=0"
"80","1.930880","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=58165 Win=62780 Len=0"
"81","1.931099","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=58165 Ack=1 Win=17520 Len=1460"
"82","1.931879","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=59625 Ack=1 Win=17520 Len=1460"
"83","1.932757","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=61085 Ack=1 Win=17520 Len=1460"
"84","1.933636","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=62545 Ack=1 Win=17520 Len=1460"
"85","1.934770","192.168.1.102","128.119.245.12","TCP","1514","1161 > 80 [ACK] Seq=64005 Ack=1 Win=17520 Len=1460"
"86","1.935586","192.168.1.102","128.119.245.12","TCP","946","1161 > 80 [PSH, ACK] Seq=65465 Ack=1 Win=17520 Len=892"
"87","2.029069","128.119.245.12","192.168.1.102","TCP","60","80 > 1161 [ACK] Seq=1 Ack=61085 Win=62780 Len=0"
